DeltaTs,Gamma
30967,1.4458
30966,-1.2611
30958,-1.2986
30956,1.4304
30948,0.7279
30939,-0.6217
30929,-0.026
30919,0.0674
30910,-0.7705
30900,0.8213
30892,1.1619
30890,-1.4471
30882,-1.3687
30873,0.4862
30863,-0.5951
30853,-0.219
30844,0.1903
30834,-0.962
30825,0.9192
30817,1.4032
30807,-0.8723
30797,0.671
30788,-0.1168
30778,-0.046
30769,0.6738
30759,-0.7127
30751,-1.4191
30749,1.4205
30741,1.3215
30740,-1.4092
30732,-0.6178
30722,0.6455
30712,0.1281
30703,-0.0758
30693,0.8283
30684,-0.8011
30676,-1.2116
30666,1.1309
30665,-1.4893
30656,-0.5523
30647,0.3708
30637,0.1275
30628,-0.3759
30618,0.8014
30610,1.5267
30609,-1.1866
30601,-1.3024
30599,1.4278
30591,0.8073
30581,-0.6338
30572,0.0446
30562,0.0489
30553,-0.7102
30543,0.7954
30535,1.1908
30534,-1.3965
30526,-1.4274
30524,1.5325
30516,0.5111
30506,-0.6565
30497,-0.2007
30487,0.1255
30478,-0.9485
30468,0.8514
30460,1.4043
30451,-0.9513
30441,0.6696
30431,-0.2
30422,-0.0451
30412,0.5883
30403,-0.7083
30395,-1.4786
30393,1.3379
30385,1.3499
30384,-1.4049
30376,-0.6692
30366,0.6835
30357,0.0837
30347,-0.0277
30338,0.7933
30328,-0.7469
30320,-1.228
30311,1.194
30309,-1.4312
30301,-0.564
30291,0.4405
30282,0.1197
30272,-0.3036
30263,0.7974
30253,-1.1127
30245,-1.3035
30244,1.4249
30236,0.8905
30226,-0.6412
30217,0.122
30207,0.0373
30198,-0.6432
30188,0.7766
30180,1.2271
30179,-1.3398
30171,-1.4779
30169,1.5024
30161,0.543
30152,-0.7115
30142,-0.1763
30133,0.0662
30123,-0.9287
30114,0.7885
30106,1.4054
30096,-1.03
30095,1.5161
30087,0.6676
30077,-0.284
30068,-0.045
30058,0.4999
30049,-0.7064
30041,-1.5425
30039,1.2528
30031,1.3727
30030,-1.4034
30022,-0.7255
30012,0.7145
30003,0.0324
29993,0.0126
29984,0.7504
29974,-0.7012
29966,-1.2527
29965,1.518
29957,1.251
29955,-1.3813
29948,-0.5821
29938,0.5071
29929,0.1084
29919,-0.2321
29910,0.7919
29900,-1.0381
29892,-1.3014
29891,1.4217
29883,0.9763
29873,-0.6452
29864,0.2012
29854,0.0303
29845,-0.5722
29835,0.7632
29828,1.2695
29826,-1.2781
29818,-1.5203
29817,1.4788
29809,0.5822
29799,-0.7576
29790,-0.1445
29780,0.0136
29771,-0.9016
29761,0.7314
29754,1.4105
29744,-1.1075
29742,1.4588
29735,0.6673
29725,-0.368
29716,-0.0448
29706,0.4107
29697,-0.7069
29687,1.1641
29680,1.3892
29678,-1.406
29670,-0.7875
29661,0.7381
29651,-0.0247
29642,0.0445
29632,0.7022
29623,-0.6621
29615,-1.2827
29613,1.4798
29606,1.3033
29604,-1.3375
29596,-0.6069
29587,0.5689
29577,0.0909
29568,-0.1653
29558,0.781
29549,-0.9665
29541,-1.299
29540,1.4155
29532,1.0644
29522,-0.6465
29513,0.2843
29504,0.0274
29494,-0.497
29485,0.7557
29477,1.3184
29475,-1.2117
29468,-1.5551
29466,1.4614
29458,0.628
29449,-0.7961
29439,-0.1046
29430,-0.0318
29420,-0.8674
29411,0.68
29403,1.4187
29394,-1.1819
29392,1.4063
29385,0.669
29375,-0.4513
29366,-0.0436
29356,0.3222
29347,-0.7066
29338,1.0766
29330,1.4006
29328,-1.4101
29320,-0.8528
29311,0.7562
29302,-0.0874
29292,0.0692
29283,0.6458
29273,-0.6319
29266,-1.3218
29264,1.4331
29256,1.3489
29255,-1.3014
29247,-0.6394
29238,0.6254
29228,0.0678
29219,-0.1014
29209,0.7663
29200,-0.8972
29192,-1.2967
29191,1.406
29183,1.1519
29174,-0.6463
29164,0.3675
29155,0.027
29145,-0.4199
29136,0.7517
29128,1.3732
29127,-1.1418
29117,1.4493
29110,0.6804
29100,-0.8269
29091,-0.0573
29082,-0.0696
29072,-0.824
29063,0.6354
29055,1.4327
29054,-1.5351
29046,-1.2523
29044,1.3603
29036,0.6758
29027,-0.5311
29018,-0.0403
29008,0.2344
28999,-0.7065
28990,0.9885
28982,1.4082
28980,-1.4147
28973,-0.9229
28963,0.7685
28954,-0.1542
28945,0.0883
28935,0.5854
28926,-0.6079
28918,-1.3676
28917,1.3801
28909,1.3888
28907,-1.2717
28900,-0.6793
28890,0.6756
28881,0.0364
28872,-0.044
28862,0.7449
28853,-0.8318
28845,-1.2966
28844,1.3915
28836,1.2388
28827,-0.6469
28817,0.4515
28808,0.028
28799,-0.3414
28790,0.7504
28782,1.433
28780,-1.0692
28771,1.4418
28763,0.7399
28754,-0.8498
28745,-0.0023
28735,-0.1
28726,-0.773
28717,0.5979
28709,1.4509
28708,-1.4909
28700,-1.3189
28698,1.3193
28691,0.6863
28681,-0.6074
28672,-0.0323
28663,0.1501
28653,-0.7031
28644,0.9035
28636,1.4146
28635,-1.4171
28627,-0.9938
28618,0.7772
28609,-0.2259
28599,0.101
28590,0.5187
28581,-0.5913
28573,-1.4222
28571,1.3203
28564,1.421
28562,-1.25
28555,-0.7271
28545,0.7202
28536,-0.0013
28527,0.0084
28517,0.717
28508,-0.7713
28501,-1.299
28499,1.3721
28491,1.3224
28490,-1.5509
28482,-0.649
28473,0.5331
28464,0.0291
28454,-0.2624
28445,0.7502
28437,1.4971
28436,-0.9953
28427,1.4363
28419,0.8047
28410,-0.8658
28400,0.0597
28391,-0.1239
28382,-0.7137
28373,0.5678
28365,1.4773
28364,-1.437
28356,-1.3793
28354,1.2862
28347,0.7031
28337,-0.6788
28328,-0.0199
28319,0.0697
28310,-0.6968
28301,0.8199
28293,1.4187
28291,-1.4181
28284,-1.0662
28282,1.5268
28274,0.783
28265,-0.299
28256,0.1089
28247,0.4491
28238,-0.5793
28230,-1.4826
28228,1.2557
28221,1.4473
28219,-1.2332
28211,-0.7833
28202,0.7576
28193,-0.0471
28184,0.0541
28175,0.6817
28165,-0.7169
28158,-1.3063
28156,1.3456
28149,1.4029
28147,-1.4854
28139,-0.6543
28130,0.6121
28121,0.0277
28112,-0.1849
28103,0.7504
28094,-0.92
28084,1.4332
28077,0.8751
28067,-0.875
28058,0.1285
28049,-0.1406
28040,-0.6482
28031,0.5435
28023,1.5086
28022,-1.3779
28014,-1.4341
28012,1.2589
28005,0.7262
27996,-0.745
27986,-0.0012
27977,-0.0047
27968,-0.6845
27959,0.7428
27951,1.4236
27950,-1.4149
27942,-1.1384
27941,1.4501
27933,0.7876
27924,-0.3742
27915,0.114
27905,0.375
27896,-0.5727
27889,-1.5505
27887,1.1859
27880,1.4675
27878,-1.2217
27870,-0.8464
27861,0.7886
27852,-0.1004
27843,0.0932
27834,0.6398
27825,-0.669
27817,-1.3183
27816,1.3134
27808,1.4776
27806,-1.4262
27799,-0.663
27790,0.6878
27781,0.024
27771,-0.1092
27762,0.7477
27753,-0.8458
27744,1.4287
27736,0.9484
27727,-0.8802
27718,0.2024
27709,-0.1518
27700,-0.5743
27691,0.5265
27683,1.5482
27682,-1.3101
27674,-1.4816
27673,1.239
27665,0.7569
27656,-0.8039
27647,0.0231
27638,-0.074
27629,-0.6681
27619,0.6701
27612,1.4299
27610,-1.4071
27603,-1.2093
27601,1.3775
27594,0.7917
27585,-0.449
27575,0.1179
27566,0.3003
27557,-0.5683
27548,1.1121
27541,1.4819
27539,-1.2142
27532,-0.916
27522,0.8129
27513,-0.1607
27504,0.1245
27495,0.5905
27486,-0.6278
27478,-1.3367
27477,1.2737
27469,1.5469
27468,-1.3738
27460,-0.6783
27451,0.7583
27442,0.0153
27433,-0.0367
27424,0.7423
27415,-0.7726
27406,1.424
27398,1.0262
27397,-1.5122
27389,-0.8802
27380,0.281
27371,-0.1583
27362,-0.4964
27353,0.5147
27344,-1.2378
27336,-1.5234
27335,1.2245
27327,0.7934
27318,-0.8556
27309,0.0548
27300,-0.1346
27291,-0.645
27282,0.6047
27274,1.44
27273,-1.3934
27266,-1.2772
27264,1.3106
27256,0.7982
27247,-0.5241
27238,0.1215
27229,0.2242
27220,-0.5659
27211,1.036
27204,1.4903
27202,-1.2105
27195,-0.9919
27186,0.8312
27177,-0.227
27168,0.1494
27159,0.5345
27150,-0.5936
27142,-1.3608
27140,1.2287
27131,-1.3272
27124,-0.6985
27115,0.8232
27106,0.0011
27097,0.0316
27088,0.7314
27079,-0.7034
27070,1.4143
27062,1.1043
27061,-1.4461
27053,-0.8784
27044,0.3635
27035,-0.1609
27026,-0.4123
27017,0.5085
27008,-1.1588
26999,1.2167
26992,0.8367
26983,-0.9002
26974,0.0926
26965,-0.1883
26956,-0.6152
26947,0.5457
26939,1.4539
26938,-1.3734
26930,-1.3419
26929,1.2493
26921,0.8081
26912,-0.5964
26903,0.1263
26894,0.1481
26885,-0.5634
26876,0.9583
26869,1.4954
26867,-1.2071
26860,-1.0725
26851,0.8441
26842,-0.2985
26833,0.1687
26824,0.4725
26815,-0.5664
26808,-1.3931
26806,1.1755
26797,-1.2889
26790,-0.7266
26781,0.881
26772,-0.02
26763,0.0943
26754,0.7159
26745,-0.6363
26736,1.402
26728,1.1844
26727,-1.3808
26719,-0.8749
26710,0.4478
26701,-0.161
26692,-0.3266
26684,0.505
26675,-1.0776
26666,1.2132
26658,0.8864
26649,-0.9368
26640,0.1377
26631,-0.2333
26622,-0.5781
26613,0.4954
26606,1.4737
26605,-1.3461
26597,-1.4029
26596,1.1943
26588,0.8224
26579,-0.6661
26570,0.1345
26561,0.0736
26552,-0.5605
26543,0.8802
26536,1.497
26535,-1.2048
26527,-1.1563
26518,0.8522
26509,-0.3752
26500,0.1816
26491,0.4057
26483,-0.5454
26475,-1.4309
26474,1.1183
26465,-1.2574
26457,-0.7605
26448,0.9323
26439,-0.0479
26431,0.1509
26422,0.6917
26413,-0.5753
26404,1.3827
26396,1.263
26395,-1.3195
26387,-0.8723
26379,0.5334
26370,-0.16
26361,-0.237
26352,0.5052
26343,-0.9924
26334,1.2138
26327,0.942
26318,-0.9661
26309,0.189
26300,-0.271
26291,-0.5344
26282,0.4526
26275,1.4997
26273,-1.3116
26266,-1.4583
26265,1.1466
26257,0.8413
26248,-0.732
26239,0.1463
26231,0.002
26222,-0.5537
26213,0.8029
26205,1.4971
26204,-1.2004
26197,-1.2419
26188,0.8579
26179,-0.4542
26170,0.1898
26161,0.3337
26152,-0.5307
26145,-1.4765
26143,1.0545
26134,-1.2334
26127,-0.8033
26118,0.9753
26109,-0.0834
26101,0.2018
26092,0.6615
26083,-0.5187
26074,1.3578
26067,1.3408
26065,-1.2617
26058,-0.8709
26049,0.6179
26040,-0.1597
26031,-0.1485
26022,0.5062
26014,-0.9059
26005,1.2166
25997,1.0023
25989,-0.9885
25980,0.2467
25971,-0.3001
25962,-0.4843
25953,0.4175
25946,1.5329
25944,-1.2696
25937,-1.5079
25936,1.1064
25928,0.8683
25919,-0.7932
25911,0.1641
25902,-0.066
25893,-0.5432
25884,0.7281
25877,1.4957
25875,-1.1946
25868,-1.3295
25866,1.5201
25859,0.8602
25850,-0.5354
25841,0.194
25833,0.2592
25824,-0.5211
25817,-1.5268
25815,0.988
25806,-1.2144
25799,-0.8517
25790,1.0111
25781,-0.1278
25773,0.2451
25764,0.6221
25755,-0.4692
25746,1.3246
25739,1.4149
25737,-1.2098
25730,-0.8728
25721,0.702
25712,-0.1607
25704,-0.0591
25695,0.5071
25686,-0.8187
25677,1.2213
25670,1.0665
25669,-1.529
25661,-1.005
25652,0.3091
25644,-0.322
25635,-0.4276
25626,0.3903
25617,-1.2212
25609,1.073
25601,0.9013
25593,-0.8486
25584,0.1874
25575,-0.1298
25566,-0.5275
25557,0.6573
25550,1.4958
25549,-1.1838
25541,-1.4151
25540,1.4411
25533,0.8617
25524,-0.6168
25515,0.1962
25506,0.1822
25498,-0.5157
25489,0.9161
25480,-1.202
25473,-0.9081
25464,1.0391
25455,-0.1792
25447,0.2814
25438,0.5754
25429,-0.4251
25420,1.285
25413,1.4859
25412,-1.1631
25404,-0.8789
25396,0.7822
25387,-0.1647
25378,0.0276
25369,0.5063
25361,-0.7329
25352,1.2251
25345,1.134
25343,-1.4485
25336,-1.0163
25327,0.3758
25319,-0.338
25310,-0.3655
25301,0.3705
25292,-1.1646
25284,1.047
25276,0.943
25268,-0.8975
25259,0.2187
25250,-0.1874
25242,-0.5068
25233,0.59
25226,1.4968
25224,-1.1698
25217,-1.4996
25216,1.3644
25208,0.8634
25200,-0.6985
25191,0.1968
25182,0.1049
25174,-0.5116
25165,0.8433
25156,-1.1926
25149,-0.9705
25140,1.0604
25131,-0.2387
25123,0.3105
25114,0.5194
25105,-0.3889
25097,1.2372
25088,-1.1224
25081,-0.8905
25072,0.8592
25063,-0.1735
25055,0.1115
25046,0.5028
25037,-0.6495
25029,1.2277
25022,1.203
25020,-1.3689
25013,-1.0234
25004,0.4466
24996,-0.3478
24987,-0.2985
24978,0.3566
24970,-1.1028
24961,1.0273
24954,0.9904
24945,-0.9406
24936,0.2559
24928,-0.2387
24919,-0.4783
24910,0.5291
24903,1.5018
24902,-1.1492
24893,1.2935
24886,0.868
24877,-0.7775
24869,0.1981
24860,0.0261
24851,-0.5096
24843,0.768
24834,-1.1868
24827,-1.039
24826,1.5114
24818,1.0741
24810,-0.3046
24801,0.3335
24792,0.457
24784,-0.3588
24775,1.1818
24767,-1.0884
24759,-0.9078
24751,0.9306
24742,-0.1871
24733,0.1901
24725,0.4952
24716,-0.5693
24708,1.2267
24701,1.2729
24699,-1.2918
24692,-1.0288
24683,0.5194
24675,-0.3539
24666,-0.2274
24657,0.3481
24649,-1.0344
24640,1.0144
24633,1.0474
24624,-0.9762
24616,0.3008
24607,-0.2836
24599,-0.444
24590,0.4738
24583,1.5101
24582,-1.1234
24573,1.2266
24566,0.8746
24557,-0.8536
24549,0.2014
24540,-0.0498
24531,-0.507
24523,0.6932
24514,-1.1814
24507,-1.1115
24506,1.4428
24499,1.0828
24490,-0.3777
24481,0.3499
24473,0.3868
24464,-0.3353
24456,1.1192
24447,-1.0613
24440,-0.9323
24431,0.9965
24423,-0.2071
24414,0.2631
24406,0.4822
24397,-0.4944
24389,1.2226
24381,1.3428
24380,-1.217
24373,-1.0323
24364,0.594
24356,-0.3565
24347,-0.1532
24339,0.3438
24330,-0.9628
24322,1.0049
24314,1.1093
24306,-1.0056
24297,0.3529
24289,-0.3218
24280,-0.4016
24272,0.4261
24265,1.525
24263,-1.0898
24255,1.1678
24248,0.886
24239,-0.9259
24231,0.208
24222,-0.124
24214,-0.5023
24205,0.6183
24196,-1.1767
24189,-1.1882
24188,1.3729
24181,1.0869
24172,-0.4554
24164,0.3609
24155,0.31
24147,-0.318
24138,1.0506
24130,-1.0405
24123,-0.9632
24114,1.055
24106,-0.233
24097,0.3301
24089,0.4636
24080,-0.4248
24072,1.2115
24064,1.4113
24063,-1.1471
24056,-1.0375
24048,0.6682
24039,-0.359
24030,-0.0771
24022,0.3422
24014,-0.8855
24005,1.0005
23998,1.1791
23989,-1.0283
23981,0.4117
23972,-0.3526
23964,-0.3537
23956,0.3843
23947,-1.0511
23939,1.1154
23932,0.9024
23923,-0.9926
23915,0.2185
23906,-0.1939
23898,-0.4937
23889,0.5464
23881,-1.1695
23874,-1.2677
23872,1.3032
23865,1.0872
23857,-0.5374
23848,0.3675
23840,0.2285
23831,-0.3072
23823,0.9759
23814,-1.0263
23807,-1.0012
23799,1.1062
23790,-0.2669
23782,0.3892
23773,0.4384
23765,-0.3615
23757,1.1954
23750,1.4777
23748,-1.0815
23741,-1.0434
23733,0.7427
23724,-0.3608
23716,-0.0005
23707,0.3411
23699,-0.8075
23691,0.9976
23683,1.2526
23675,-1.0457
23667,0.4761
23658,-0.3764
23650,-0.2981
23641,0.3512
23633,-1.0053
23625,1.0707
23617,0.9253
23609,-1.0531
23601,0.2356
23592,-0.2605
23584,-0.4807
23575,0.4771
23567,-1.1594
23560,-1.3484
23559,1.2351
23552,1.0844
23543,-0.6227
23535,0.3702
23526,0.1429
23518,-0.3004
23510,0.8964
23501,-1.0172
23494,-1.0451
23486,1.151
23477,-0.3068
23469,0.4412
23461,0.4055
23452,-0.3054
23444,1.1711
23435,-1.0228
23428,-1.0548
23420,0.8142
23412,-0.3651
23403,0.0765
23395,0.3403
23386,-0.7266
23378,0.9966
23371,1.3319
23370,-1.5229
23363,-1.0571
23354,0.5451
23346,-0.3944
23338,-0.2381
23329,0.3243
23321,-0.9534
23313,1.0333
23306,0.9546
23297,-1.1068
23289,0.2593
23280,-0.3204
23272,-0.4619
23264,0.4117
23255,-1.1446
23248,-1.4293
23247,1.1699
23240,1.0817
23232,-0.7099
23223,0.3709
23215,0.0545
23207,-0.2968
23198,0.8132
23190,-1.0132
23183,-1.0967
23182,1.5192
23175,1.1875
23166,-0.3543
23158,0.4845
23150,0.366
23141,-0.2573
23133,1.1408
23125,-0.9692
23118,-1.069
23109,0.8836
23101,-0.3725
23093,0.1513
23084,0.3373
23076,-0.647
23068,0.9943
23061,1.4124
23059,-1.4382
23052,-1.0647
23044,0.6188
23036,-0.4066
23028,-0.1722
23019,0.3044
23011,-0.8955
23003,1.004
22996,0.9914
22987,-1.1537
22979,0.2902
22971,-0.3746
22962,-0.4358
22954,0.3514
22946,-1.1254
22939,-1.5097
22938,1.1075
22931,1.0789
22922,-0.7974
22914,0.3706
22906,-0.0362
22897,-0.2959
22889,0.7284
22881,-1.0119
22874,-1.1523
22873,1.4433
22866,1.2168
22857,-0.4074
22849,0.5206
22841,0.3192
22833,-0.217
22824,1.1009
22816,-0.9238
22809,-1.0907
22801,0.9487
22793,-0.3849
22784,0.2239
22776,0.3313
22768,-0.5672
22760,0.9913
22753,1.4956
22751,-1.3532
22744,-1.069
22736,0.6946
22728,-0.4137
22720,-0.1025
22711,0.2902
22703,-0.8327
22695,0.9814
22688,1.0352
22680,-1.1926
22671,0.3281
22663,-0.4226
22655,-0.4026
22647,0.2968
22638,-1.0983
22630,1.0497
22623,1.0788
22615,-0.8837
22607,0.3719
22599,-0.1262
22590,-0.2963
22582,0.6413
22574,-1.0139
22567,-1.2136
22566,1.3638
22559,1.239
22551,-0.4674
22542,0.5482
22534,0.2662
22526,-0.1834
22518,1.0552
22509,-0.8844
22503,-1.1181
22494,1.0095
22486,-0.4025
22478,0.2919
22470,0.3204
22461,-0.4915
22453,0.9848
22445,-1.2694
22438,-1.0716
22430,0.7727
22422,-0.4178
22414,-0.0291
22405,0.281
22397,-0.7657
22389,0.9646
22382,1.0862
22381,-1.5028
22374,-1.2242
22366,0.3752
22358,-0.4635
22349,-0.3612
22341,0.2484
22333,-1.065
22325,0.9972
22318,1.0807
22310,-0.9689
22302,0.3738
22293,-0.2148
22285,-0.296
22277,0.5557
22269,-1.0166
22262,-1.2774
22261,1.2846
22254,1.2565
22246,-0.5315
22238,0.5692
22229,0.2058
22221,-0.1582
22213,1.0009
22205,-0.8531
22198,-1.1538
22190,1.0639
22189,-1.5106
22182,-0.4265
22174,0.3561
22165,0.3047
22157,-0.4183
22149,0.9745
22141,-1.1883
22134,-1.073
22126,0.8508
22118,-0.4197
22110,0.0458
22102,0.2757
22093,-0.695
22085,0.9531
22078,1.1434
22077,-1.4421
22070,-1.2487
22062,0.4288
22054,-0.4973
22046,-0.3122
22038,0.2064
22030,-1.0238
22022,0.9514
22015,1.0882
22007,-1.0492
21999,0.3791
21990,-0.3008
21982,-0.2942
21974,0.4711
21966,-1.0193
21959,-1.3456
21958,1.2038
21951,1.2678
21943,-0.6002
21935,0.5837
21927,0.1409
21919,-0.1398
21911,0.9403
21902,-0.8278
21896,-1.1957
21888,1.1127
21886,-1.4824
21879,-0.4578
21871,0.414
21863,0.2827
21855,-0.3499
21847,0.9588
21839,-1.1109
21832,-1.0761
21824,0.9286
21816,-0.4214
21808,0.1215
21800,0.2717
21792,-0.6224
21784,0.9458
21777,1.2078
21776,-1.3762
21769,-1.266
21761,0.491
21753,-0.5238
21745,-0.2548
21737,0.1718
21728,-0.9765
21720,0.911
21714,1.0995
21706,-1.1258
21698,0.3888
21689,-0.383
21681,-0.2892
21673,0.3903
21665,-1.0187
21658,-1.4139
21657,1.1259
21650,1.276
21642,-0.6724
21634,0.5931
21626,0.0704
21618,-0.1274
21610,0.8723
21602,-0.8099
21595,-1.2457
21587,1.1557
21586,-1.4605
21579,-0.4961
21571,0.4666
21563,0.2535
21555,-0.287
21547,0.9378
21539,-1.0388
21532,-1.081
21524,1.0037
21516,-0.423
21508,0.1975
21500,0.2693
21492,-0.5483
21484,0.9403
21477,1.2767
21476,-1.3088
21469,-1.2773
21461,0.5584
21453,-0.5447
21445,-0.1907
21437,0.1441
21429,-0.9204
21421,0.8785
21415,1.118
21407,-1.1957
21398,0.4043
21390,-0.4595
21382,-0.2803
21374,0.3119
21366,-1.0163
21360,-1.4838
21358,1.0495
21352,1.2813
21344,-0.7469
21336,0.5976
21328,-0.0033
21320,-0.1195
21312,0.8001
21304,-0.7967
21297,-1.3028
21289,1.1919
21288,-1.4446
21281,-0.5412
21273,0.5121
21265,0.2177
21257,-0.231
21249,0.91
21241,-0.9723
21234,-1.0898
21227,1.0758
21219,-0.4284
21211,0.2715
21203,0.2654
21195,-0.4737
21187,0.9364
21180,1.3511
21179,-1.2383
21172,-1.2825
21164,0.6336
21156,-0.5584
21148,-0.12
21140,0.1228
21132,-0.8589
21124,0.8522
21118,1.1418
21116,-1.5417
21110,-1.2607
21102,0.425
21094,-0.5298
21086,-0.2655
21078,0.2401
21070,-1.0091
21062,0.9769
21055,1.2865
21047,-0.8222
21039,0.6005
21031,-0.0809
21023,-0.1155
21015,0.7229
21008,-0.7881
21001,-1.3664
21000,1.514
20993,1.2213
20992,-1.4347
20985,-0.5938
20977,0.5509
20969,0.1749
20961,-0.1818
20953,0.8758
20945,-0.9131
20939,-1.1024
20931,1.1442
20923,-0.4362
20915,0.3434
20907,0.2595
20899,-0.4004
20891,0.9312
20885,1.4275
20883,-1.1686
20877,-1.2844
20869,0.712
20861,-0.5676
20853,-0.0426
20845,0.1077
20837,-0.7897
20829,0.8331
20823,1.1738
20821,-1.4834
20815,-1.3171
20807,0.4526
20799,-0.5939
20791,-0.2453
20783,0.1735
20775,-0.9961
20767,0.9082
20761,1.2915
20753,-0.8975
20745,0.6024
20737,-0.1591
20729,-0.114
20721,0.6419
20713,-0.7831
20707,-1.4353
20706,1.4323
20699,1.2448
20698,-1.4286
20691,-0.6522
20683,0.5823
20675,0.1258
20667,-0.1394
20659,0.8348
20652,-0.8612
20645,-1.1222
20637,1.2069
20636,-1.5437
20629,-0.4504
20621,0.4113
20614,0.2491
20606,-0.3288
20598,0.9249
20591,1.5084
20590,-1.0974
20583,-1.282
20582,1.5521
20576,0.796
20568,-0.5722
20560,0.0391
20552,0.098
20544,-0.7168
20536,0.8192
20530,1.2107
20528,-1.4209
20522,-1.3668
20514,0.4868
20506,-0.6496
20498,-0.2186
20491,0.1142
20483,-0.9766
20475,0.8458
20468,1.2993
20460,-0.9722
20453,0.6048
20445,-0.238
20437,-0.113
20429,0.5594
20421,-0.7812
20415,-1.5091
20413,1.347
20407,1.2624
20406,-1.4268
20399,-0.7163
20391,0.6068
20383,0.0695
20376,-0.1051
20368,0.7877
20360,-0.8164
20353,-1.1471
20352,1.5025
20346,1.264
20344,-1.493
20338,-0.4695
20330,0.4756
20322,0.234
20314,-0.2608
20307,0.9136
20299,-1.0292
20292,-1.2789
20291,1.5448
20284,0.8817
20277,-0.5744
20269,0.1249
20261,0.0929
20253,-0.6379
20245,0.8117
20239,1.255
20238,-1.3528
20231,-1.4085
20223,0.528
20216,-0.6975
20208,-0.1843
20200,0.0615
20192,-0.95
20184,0.789
20178,1.3105
20170,-1.0443
20169,1.4732
20162,0.6081
20155,-0.3164
20147,-0.1121
20139,0.4761
20131,-0.7793
20124,1.2598
20117,1.2752
20116,-1.4268
20109,-0.7843
20101,0.6263
20094,0.0082
20086,-0.0772
20078,0.7332
20070,-0.7796
20064,-1.1803
20063,1.4595
20056,1.3141
20055,-1.4507
20048,-0.4972
20041,0.5338
20033,0.2127
20025,-0.1957
20017,0.8989
20010,-0.9621
20003,-1.2745
20002,1.535
19995,0.9697
19988,-0.5741
19980,0.2121
19972,0.0905
19964,-0.5575
19957,0.808
19950,1.3047
19949,-1.2806
19942,-1.443
19941,1.5574
19935,0.5758
19927,-0.7371
19919,-0.1429
19912,0.0172
19904,-0.916
19896,0.7387
19890,1.3265
19882,-1.1128
19881,1.4218
19874,0.616
19866,-0.3926
19859,-0.109
19851,0.3932
19843,-0.7772
19836,1.1719
19829,1.2834
19828,-1.4286
19821,-0.8577
19814,0.6394
19806,-0.0583
19798,-0.0562
19791,0.674
19783,-0.7505
19776,-1.2192
19775,1.4116
19769,1.3585
19767,-1.4144
19761,-0.5308
19753,0.5867
19746,0.1837
19738,-0.1364
19730,0.8774
19723,-0.8996
19716,-1.2723
19715,1.5201
19708,1.0569
19701,-0.5739
19693,0.3016
19685,0.0904
19678,-0.474
19670,0.8077
19664,1.3604
19662,-1.2052
19656,-1.4695
19655,1.5517
19648,0.6299
19641,-0.769
19633,-0.0946
19625,-0.0191
19618,-0.8739
19610,0.696
19603,1.347
19596,-1.1775
19595,1.3757
19588,0.6274
19580,-0.4659
19573,-0.1028
19565,0.3114
19557,-0.7731
19550,1.0852
19543,1.2898
19542,-1.4287
19536,-0.9318
19528,0.6482
19520,-0.1284
19513,-0.0405
19505,0.6092
19497,-0.7282
19491,-1.2674
19490,1.3562
19483,1.3946
19482,-1.3865
19476,-0.5735
19468,0.6332
19460,0.1475
19453,-0.082
19445,0.8498
19438,-0.8405
19431,-1.2713
19430,1.5007
19424,1.1432
19416,-0.5747
19408,0.3893
19401,0.0911
19393,-0.3902
19385,0.8092
19379,1.4199
19378,-1.1279
19371,-1.4896
19370,1.5487
19364,0.6898
19356,-0.7927
19349,-0.0399
19341,-0.0485
19333,-0.8244
19326,0.6603
19319,1.3757
19312,-1.2375
19310,1.3365
19304,0.6456
19297,-0.5348
19289,-0.0912
19281,0.2331
19274,-0.7666
19266,0.9992
19260,1.2934
19258,-1.4287
19252,-1.0082
19244,0.6536
19237,-0.202
19229,-0.0302
19222,0.5412
19214,-0.7109
19208,-1.321
19206,1.297
19200,1.4247
19199,-1.3641
19193,-0.6238
19185,0.6733
19177,0.1032
19170,-0.0345
19162,0.8144
19155,-0.788
19148,-1.2746
19147,1.4748
19141,1.227
19133,-0.5777
19126,0.4762
19118,0.0904
19110,-0.3066
19103,0.8116
19097,1.4832
19095,-1.0497
19089,-1.5039
19088,1.5478
19081,0.7547
19074,-0.8096
19066,0.0221
19059,-0.0702
19051,-0.7674
19044,0.6314
19037,1.4103
19036,-1.5403
19030,-1.2917
19028,1.3038
19022,0.6684
19015,-0.5995
19007,-0.0754
18999,0.1591
18992,-0.7552
18984,0.9182
18978,1.2971
18977,-1.4255
18971,-1.0834
18963,0.658
18955,-0.2765
18948,-0.023
18940,0.4686
18933,-0.6996
18927,-1.3825
18925,1.2323
18919,1.4468
18918,-1.3482
18911,-0.6821
18904,0.7056
18896,0.0513
18889,0.007
18881,0.7725
18874,-0.7411
18868,-1.282
18866,1.4425
18860,1.307
18859,-1.5409
18852,-0.5839
18845,0.5597
18837,0.088
18830,-0.225
18822,0.8129
18815,-0.9713
18809,-1.5137
18807,1.5469
18801,0.8234
18794,-0.821
18786,0.0887
18779,-0.0856
18771,-0.7033
18764,0.6092
18757,1.4526
18756,-1.4781
18750,-1.3392
18748,1.2786
18742,0.6995
18735,-0.6572
18727,-0.0533
18720,0.09
18712,-0.7396
18705,0.8407
18699,1.3013
18697,-1.4187
18691,-1.1592
18690,1.5494
